"'RT @TFMkts: The Scariest Chart For Bond Yields via @forbes https://t.co/EMa019ReSN $TLT $TBT $AGG $BND $LQD bonds trading poorly this week","'rt : the scariest chart for bond yields via lt   nd  bonds trading poorly this week",-1
"'Does that matter? Fed strangling vol, QE anchoring DM yields, oil in a range, China burst far away, $EM yields fine https://t.co/4ldFZBrbuE","'does that matter? fed strangling vol, qe anchoring dm yields, oil in a range, china burst far away, m yields fine",0
"'Bond market bubble spotting: $US denominated Abu Dhabi govt bonds maturing in 18 months now yield less than US Treasuries of same maturity","'bond market bubble spotting: s denominated abu dhabi govt bonds maturing in months now yield less than us treasuries of same maturity",0
"'Argentina\'s CPI data are no longer reported in @TheEconomist and ""holders of I-L bonds have been cheated out of $bns"". http://t.co/kTMnudOp","'argentina\'s cpi data are no longer reported in and ""holders of i-l bonds have been cheated out of ns"".",-1
"""Credit markets aren't doing as well as stocks https://t.co/eucSWvvmaR via @TheStreet $hyg $jnk #CDS","""credit markets aren't doing as well as stocks via  nk",-1
"'Treasury yields could spike in February; avoid bond funds https://t.co/5xqA1Upnw1 via @TheStreet $tlt $tbt $lqd $bkln $srln","'treasury yields could spike in february; avoid bond funds via lt   kln rln",1
"'Treasury yields could spike in February; avoid bond funds https://t.co/5xqA1Upnw1 via @TheStreet $TLT $TBT $LQD $BKLN $HYG $JNK","'treasury yields could spike in february; avoid bond funds via lt   kln  nk",0
"'@DavidSchawel @quantian1 even $lqd has a lot of &gt; 30 year bonds","' even  has a lot of &gt; year bonds",0
"RT @agwarner: Spoiler Alert: The only risk is NOT owning insane amounts of $VXX #NotReally https://t.co/tk87uUP5ak","'rt : spoiler alert: the only risk is not owning insane amounts of",-1
"""@BlakeFox7 @jessefelder I'll be bearish $tlt $ief soon but I'm always wary of carry and roll https://t.co/7ogGKMAeXw",""" i'll be bearish lt ef soon but i'm always wary of carry and roll",0
